,AAPL,AMZN,BA,BAC,C,CAT,COP,CVX,DIS,GOOGL,GS,JNJ,JPM,MMM,MRK,MSFT,NKE,NVDA,PFE,SLB,UNH,XOM
2016-03-11,-0.19887535,0.006900641,0.04648184,0.18785334,-0.109074056,-0.13131008,-0.1760313,0.038034167,0.08490244,-0.004499073,-0.14394031,-0.075029984,0.024587704,0.25433907,-0.020040428,0.075662576,-0.05254615,0.2158277,-0.053024895,-0.08122995,0.006314522,0.104697585
2016-03-18,-0.16355684,-0.018731091,0.02476049,0.19983801,-0.11721428,-0.13408431,-0.1438956,0.019080114,0.08665674,-0.025058623,-0.14892088,-0.056424893,-0.01862346,0.25405616,-0.03579082,0.07776661,-0.048159607,0.21633604,-0.059296925,-0.06139024,0.055555742,0.097097546
2016-03-25,-0.20560181,0.0052485717,0.040587626,0.19391292,-0.11265912,-0.13974428,-0.16365659,0.022016605,0.09101865,-0.011423365,-0.14353016,-0.06409663,0.009522164,0.26539877,-0.022998242,0.06990756,-0.044979617,0.21621938,-0.047369283,-0.061758082,0.009167957,0.094817
2016-04-01,-0.21704093,-0.0009161189,0.034045666,0.19153687,-0.09185427,-0.14310852,-0.19054255,0.0133478,0.11702998,-0.01239917,-0.13769048,-0.040032584,0.00863577,0.26348406,-0.031965267,0.06912454,-0.05534624,0.22813162,-0.020568665,-0.06394397,-0.015946317,0.09601878
2016-04-08,-0.20928805,-0.0040463284,0.035819538,0.19289903,-0.09691635,-0.1398505,-0.1638228,-0.009553435,0.10860918,-0.015118197,-0.13674071,-0.053723436,0.012621884,0.26317754,-0.024774883,0.05870965,-0.04955446,0.20943765,-0.025164878,-0.063696295,0.007915544,0.10306034
2016-04-15,-0.21190253,-0.005646569,0.011198431,0.19049823,-0.07667391,-0.14234996,-0.15027301,-0.030605752,0.10145334,-0.01150052,-0.13495238,-0.037194125,-0.0025261082,0.25464624,-0.024502188,0.061870135,-0.047058273,0.21307698,-0.029343972,-0.04896594,0.012918806,0.10783305
2016-04-22,-0.21680252,-0.008428961,-0.008381578,0.1740975,-0.085324004,-0.1321793,-0.13232277,-0.054284524,0.07124756,-0.047747474,-0.10967541,-0.025219679,0.00041286796,0.25417703,-0.01907434,0.07231274,-0.024604678,0.2146211,-0.03750971,-0.03350064,0.025184184,0.123002626
2016-04-29,-0.21680951,0.001657778,-0.019508231,0.17894268,-0.06532643,-0.12746835,-0.15206048,-0.050054245,0.098561324,-0.04704442,-0.11879901,-0.037136436,0.0031857886,0.2606262,-0.036346518,0.07538213,-0.04228592,0.20473322,-0.030548757,-0.037752837,0.030964207,0.12708785
2016-05-06,-0.20456663,0.0057295174,-0.008351451,0.17561205,-0.059282612,-0.12389012,-0.17201489,-0.04508198,0.11047808,-0.029327547,-0.11703316,-0.043241266,0.010540939,0.2655393,-0.043747324,0.06748323,-0.052392088,0.19859031,-0.014683617,-0.042019118,0.0132205365,0.10843788
2016-05-13,-0.20151322,-0.008901233,-0.037008643,0.15240951,-0.052028418,-0.12983301,-0.17942381,-0.029420227,0.12431884,-0.026149666,-0.10660247,-0.03137884,-0.0046788887,0.26489505,-0.040971868,0.06238361,-0.05038519,0.17959,0.0111834975,-0.0038844883,-0.0023885549,0.10978796
2016-05-20,-0.24025145,-0.007939227,-0.011268705,0.13818558,-0.064551815,-0.13509127,-0.16723253,-0.06924654,0.13274059,-0.056513347,-0.115798414,-0.015784169,0.011984013,0.27466422,-0.020459902,0.07444073,-0.048427254,0.225847,-0.0077372594,-0.01717946,-0.008263737,0.1278829
2016-05-27,-0.2532863,-0.0035900609,-0.0048645227,0.13117334,-0.061556887,-0.1331007,-0.1494213,-0.08215545,0.12631309,-0.0645349,-0.112404466,-0.012549588,0.028530568,0.26320553,-0.014290822,0.06887064,-0.0443979,0.2319146,-0.01636291,-0.020733994,-0.013949198,0.1371912
2016-06-03,-0.25323185,-0.009456378,-0.014977413,0.11837623,-0.05062892,-0.14337581,-0.13368917,-0.087090954,0.115133084,-0.0695223,-0.11388097,-0.014337415,0.02716146,0.25859147,-0.0013413131,0.07147652,-0.041745175,0.22235551,-0.019075636,-0.0036997318,0.006997466,0.1359612
2016-06-10,-0.25246423,-0.013192537,-0.017594099,0.12095474,-0.0586802,-0.14559242,-0.13038625,-0.097500324,0.12020955,-0.072944164,-0.12075482,-0.015103215,0.027457451,0.25344124,-0.0019336194,0.080844566,-0.037680436,0.21865955,-0.02859787,-0.012449384,0.025323143,0.15798335
2016-06-17,-0.25634134,-0.018103268,-0.02459889,0.12238914,-0.065030135,-0.1394284,-0.13331954,-0.109552,0.12406383,-0.08405983,-0.12688878,-0.010918048,0.019510303,0.25727966,-0.0013297498,0.08219554,-0.040273137,0.22203116,-0.03091904,0.00017607212,0.040032662,0.17308375
2016-06-24,-0.26235813,-0.023642395,-0.05154829,0.12382629,-0.058704216,-0.14818184,-0.121132396,-0.109609224,0.1088467,-0.07700006,-0.13109317,-0.016404053,-0.011704899,0.24599795,0.0034545779,0.08826057,-0.018288827,0.20626369,-0.03292546,0.03153652,0.06827844,0.18612826
2016-07-01,-0.25800228,-0.021186199,-0.03299911,0.112005234,-0.05220933,-0.1480873,-0.13272583,-0.112032674,0.12125907,-0.08089133,-0.12952101,-0.0038378774,0.021949435,0.25915945,0.002484861,0.067268156,-0.027305227,0.21586847,-0.018333878,0.005419284,0.049028754,0.16268927
