,AAPL,AMZN,BA,BAC,C,CAT,COP,CVX,DIS,GOOGL,GS,JNJ,JPM,MMM,MRK,MSFT,NKE,NVDA,PFE,SLB,UNH,XOM
2016-02-19,0.03810965,0.075539134,-0.038466994,0.052469827,0.035607994,0.047891688,-0.018196253,-0.04816123,0.0016806722,-0.075054705,-0.12584628,-0.039186973,-0.024239752,0.051675986,0.024345364,0.038712226,0.009982975,0.004670334,0.06654948,-0.011373059,-0.025548274,-0.041161813
2016-02-26,0.04149732,0.08162619,-0.041838586,0.053251218,0.03584435,0.0534217,-0.016715474,-0.05069258,0.0025617585,-0.07099892,-0.120166026,-0.037887897,-0.026997307,0.049980097,0.019826734,0.04489795,0.0043740473,-0.0037453487,0.06594636,-0.010542371,-0.027884146,-0.045759078
2016-03-04,0.03253031,0.08397235,-0.049727954,0.05553467,0.042181153,0.052701347,-0.01450024,-0.049073655,-0.0017138079,-0.077556394,-0.12488067,-0.031094233,-0.02314999,0.049946867,0.018768229,0.046644397,0.0063765137,-0.00613783,0.073808275,-0.012980545,-0.030744174,-0.040904634
2016-03-11,0.03640242,0.085872546,-0.05233141,0.05061394,0.03872442,0.05788792,-0.011141531,-0.048215684,-0.001424703,-0.0748237,-0.12432957,-0.030502144,-0.024771439,0.051908083,0.019064734,0.048825983,0.0056154155,-0.008248039,0.07024636,-0.005625321,-0.036952797,-0.04679548
2016-03-18,0.027402377,0.09212675,-0.04831367,0.055575006,0.04604222,0.055342175,-0.014874044,-0.04756822,-0.0030461445,-0.08419993,-0.12698571,-0.026309138,-0.026263112,0.049357854,0.020376723,0.03753345,0.0032790885,0.0034430833,0.07315724,-0.0044615148,-0.031774174,-0.049840312
2016-03-25,0.03893031,0.08948288,-0.04593926,0.05090169,0.037883483,0.055696756,-0.011353358,-0.046793543,0.0051763803,-0.080993816,-0.118147194,-0.033308316,-0.027415127,0.053819824,0.019210797,0.04650109,0.006609651,-0.0160238,0.06460888,-0.003970032,-0.035282172,-0.049595132
2016-04-01,0.03534332,0.09013228,-0.053613257,0.052111544,0.041319307,0.061658986,-0.007419688,-0.042978343,0.004635149,-0.08147301,-0.11904671,-0.03318416,-0.028982282,0.058420412,0.020986294,0.045136373,-0.0020013042,-0.02094467,0.066191055,-0.0008392677,-0.03832424,-0.047127787
2016-04-08,0.041847777,0.09229487,-0.059885204,0.048060875,0.03854852,0.06060245,-0.00760354,-0.044767775,0.003055875,-0.0739828,-0.115915194,-0.026631176,-0.033943214,0.05609583,0.016413387,0.0518642,0.0051447945,-0.028188473,0.060640365,0.0034736984,-0.0373915,-0.04973378
2016-04-15,0.04138991,0.09167154,-0.058896672,0.049434412,0.037609633,0.06169668,-0.010616883,-0.04380429,-0.0018285721,-0.074230276,-0.11147406,-0.02631639,-0.034511335,0.060860146,0.016112419,0.052859187,0.0014803067,-0.03487581,0.06017254,0.0052315453,-0.033201616,-0.04876241
2016-04-22,0.03518878,0.09089486,-0.05141338,0.052224554,0.043669794,0.06236853,-0.015491517,-0.042493302,-0.006259094,-0.07108584,-0.11383611,-0.023486296,-0.033452816,0.056139357,0.014204076,0.05368386,0.0052835345,-0.036665514,0.06367785,-0.0026144478,-0.027296614,-0.053240262
